passer_player_id,season,passing_epa,qb_epa,dropbacks,epa_per_dropback,qb_epa_per_dropback,epa_per_dropback_prior,rookie_flag,qb_epa_per_dropback_prior,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0019596,2009,130.69105126905606,135.73883767424968,584.0,0.22378604669358915,0.23242951656549604,-0.7749714300840754,0,0.0033671705644916406,10,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2010,141.2237317544078,149.10129620827692,518.0,0.27263268678457103,0.28784034017041876,0.22378604669358915,0,0.23242951656549604,11,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2011,193.43426273941725,198.12814379440817,642.0,0.3012994746719895,0.30861081587914047,0.27263268678457103,0,0.28784034017041876,12,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2012,179.22281096334078,189.7666867710624,662.0,0.2707293216968894,0.2866566265423903,0.3012994746719895,0,0.30861081587914047,13,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2013,67.47404331616225,72.38146873256291,666.0,0.10131237735159497,0.10868088398282719,0.2707293216968894,0,0.2866566265423903,14,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2014,102.1963996072932,109.78381503496122,604.0,0.16919933709816756,0.1817612831704656,0.10131237735159497,0,0.10868088398282719,15,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2015,116.68950835259909,127.44168720842151,660.0,0.17680228538272588,0.19309346546730533,0.16919933709816756,0,0.1817612831704656,16,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2016,136.17700362539873,146.6906557165461,447.0,0.30464654054899043,0.32816701502583023,0.17680228538272588,0,0.19309346546730533,17,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2017,140.61418443449458,140.61418443449458,618.0,0.22753104277426306,0.22753104277426306,0.30464654054899043,0,0.32816701502583023,18,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2018,82.25362844403953,91.82587079738387,590.0,0.13941292956616871,0.15563706914810826,0.22753104277426306,0,0.22753104277426306,19,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2019,13.997183180427,31.601536470769258,642.0,0.021802466013126166,0.04922357705727299,0.13941292956616871,0,0.15563706914810826,20,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2020,120.37399782122182,132.13055865645245,629.0,0.1913736054391444,0.2100644811708306,0.021802466013126166,0,0.04922357705727299,21,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
00-0019596,2021,136.80846476847347,144.98093458580826,740.0,0.18487630374118036,0.19592018187271387,0.1913736054391444,0,0.2100644811708306,22,6.0,199.0,225.0,76.0,,,,5.28,,,,7.2,4.38,24.5,99.0,,00-0019596,qb,0,0,1,1,1,0,1,1,1,0,0,0,0,1
